Id,Id2,Geography,Med_Hh_Income,Margin of Error; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US530330026004,530330026004,"Block Group 4, Census Tract 26, King County, Washington",85294,25022
1500000US530330027001,530330027001,"Block Group 1, Census Tract 27, King County, Washington",92917,43030
1500000US530330027002,530330027002,"Block Group 2, Census Tract 27, King County, Washington",138194,54435
1500000US530330027003,530330027003,"Block Group 3, Census Tract 27, King County, Washington",132708,47157
1500000US530330027004,530330027004,"Block Group 4, Census Tract 27, King County, Washington",116250,35975
1500000US530330028001,530330028001,"Block Group 1, Census Tract 28, King County, Washington",131205,17468
1500000US530330028002,530330028002,"Block Group 2, Census Tract 28, King County, Washington",86518,44941
1500000US530330028003,530330028003,"Block Group 3, Census Tract 28, King County, Washington",67721,24318
1500000US530330028004,530330028004,"Block Group 4, Census Tract 28, King County, Washington",95350,57920
1500000US530330029001,530330029001,"Block Group 1, Census Tract 29, King County, Washington",106146,20822
1500000US530330029002,530330029002,"Block Group 2, Census Tract 29, King County, Washington",106944,16051
1500000US530330029003,530330029003,"Block Group 3, Census Tract 29, King County, Washington",96522,29593
1500000US530330030001,530330030001,"Block Group 1, Census Tract 30, King County, Washington",86151,21401
1500000US530330030002,530330030002,"Block Group 2, Census Tract 30, King County, Washington",88947,30694
1500000US530330030003,530330030003,"Block Group 3, Census Tract 30, King County, Washington",73661,16595
1500000US530330030004,530330030004,"Block Group 4, Census Tract 30, King County, Washington",120388,40795
1500000US530330031001,530330031001,"Block Group 1, Census Tract 31, King County, Washington",110234,39245
1500000US530330031002,530330031002,"Block Group 2, Census Tract 31, King County, Washington",91295,24143
1500000US530330031003,530330031003,"Block Group 3, Census Tract 31, King County, Washington",85560,7437
1500000US530330031004,530330031004,"Block Group 4, Census Tract 31, King County, Washington",111818,25633
1500000US530330031005,530330031005,"Block Group 5, Census Tract 31, King County, Washington",104595,19298
1500000US530330032001,530330032001,"Block Group 1, Census Tract 32, King County, Washington",92333,28546
1500000US530330032002,530330032002,"Block Group 2, Census Tract 32, King County, Washington",76359,15491
1500000US530330032003,530330032003,"Block Group 3, Census Tract 32, King County, Washington",76094,20694
1500000US530330032004,530330032004,"Block Group 4, Census Tract 32, King County, Washington",45975,10848
1500000US530330032005,530330032005,"Block Group 5, Census Tract 32, King County, Washington",74250,37105
1500000US530330032006,530330032006,"Block Group 6, Census Tract 32, King County, Washington",86859,13878
