SERIALNO,HINCP,NP,WGTP,AMI_80,HINCP_threshold,AMI_60,AMI_50,AMI_40
188090,90061.05089568371,2,97,0,Over 60,0,0,0
188412,218869.29810695228,3,123,0,Over 60,0,0,0
188674,82102.16732815818,3,124,0,Over 60,0,0,0
189709,8901.382937364087,1,77,77,Under 60,77,77,77
190426,26704.148812092262,2,126,126,Under 60,126,126,126
190820,251333.16529028013,4,163,0,Over 60,0,0,0
190839,869.1938632955521,1,146,146,Under 60,146,146,146
192823,157083.22830642507,1,71,0,Over 60,0,0,0
194621,272487.04003554536,2,48,0,Over 60,0,0,0
195756,204208.1967983526,2,70,0,Over 60,0,0,0
195798,37699.97479354202,2,104,104,Under 60,104,104,0
197201,146087.40232497532,2,145,0,Over 60,0,0,0
198378,39794.41783762768,1,217,217,Under 60,217,0,0
199203,641946.7930122572,3,128,0,Over 60,0,0,0
199638,48172.19001397036,2,95,95,Over 60,0,0,0
199920,33354.00547706426,2,112,112,Under 60,112,112,0
200279,204627.08540716974,1,242,0,Over 60,0,0,0
201094,47124.968491927524,1,92,92,Over 60,0,0,0
201140,43459.69316477761,1,205,205,Over 60,0,0,0
201706,551885.7421165735,2,76,0,Over 60,0,0,0
201772,108911.03829245472,2,63,0,Over 60,0,0,0
203300,261805.38051070846,1,144,0,Over 60,0,0,0
205056,40003.862142036254,3,197,197,Under 60,197,197,0
205467,119383.25351288306,2,235,0,Over 60,0,0,0
207038,14661.101308599675,1,125,125,Under 60,125,125,125
207320,56246.26794892061,3,127,127,Over 60,0,0,0
207507,11100.54813365404,2,132,132,Under 60,132,132,132
207763,150799.89917416807,1,31,0,Over 60,0,0,0
208484,143469.34851986825,1,74,0,Over 60,0,0,0
211092,5550.27406682702,2,112,112,Under 60,112,112,112
211337,167555.44352685343,3,114,0,Over 60,0,0,0
212039,130902.69025535423,3,69,0,Over 60,0,0,0
212245,28274.981095156516,1,68,68,Under 60,68,68,0
212960,65451.345127677116,3,63,63,Over 60,0,0,0
213458,397944.17837627686,2,87,0,Over 60,0,0,0
214688,146611.01308599673,2,60,0,Over 60,0,0,0
215618,75399.94958708403,3,101,0,Over 60,0,0,0
216040,43983.303925799024,1,67,67,Over 60,0,0,0
216237,241384.5608308732,1,114,0,Over 60,0,0,0
216469,43040.80455596047,2,151,151,Under 60,151,0,0
216511,52361.07610214169,2,75,75,Over 60,0,0,0
216563,489052.45079400344,2,126,0,Over 60,0,0,0
217812,62833.29132257003,4,110,110,Over 60,0,0,0
219253,94249.93698385505,1,62,0,Over 60,0,0,0
219481,111529.0920975618,3,109,0,Over 60,0,0,0
220318,10472.21522042834,4,72,72,Under 60,72,72,72
221107,90689.3838089094,2,145,0,Over 60,0,0,0
221332,187557.37459787153,2,98,0,Over 60,0,0,0
221415,104826.87435648766,1,80,0,Over 60,0,0,0
221866,100533.26611611205,2,152,0,Over 60,0,0,0
221988,128808.24721126856,2,121,0,Over 60,0,0,0
222334,159240.50464183334,3,122,0,Over 60,0,0,0
222508,74248.00591283692,1,143,0,Over 60,0,0,0
224691,261805.38051070846,3,205,0,Over 60,0,0,0
224698,115194.36742471173,2,129,0,Over 60,0,0,0
225063,97915.21231100497,2,81,0,Over 60,0,0,0
226075,267041.48812092264,2,64,0,Over 60,0,0,0
227235,157083.22830642507,1,69,0,Over 60,0,0,0
227710,174885.99418115325,2,140,0,Over 60,0,0,0
