Id,Id2,Geography,Pc_income,Margin of Error; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US530330042001,530330042001,"Block Group 1, Census Tract 42, King County, Washington",67213,11111
1500000US530330042002,530330042002,"Block Group 2, Census Tract 42, King County, Washington",47713,12128
1500000US530330042003,530330042003,"Block Group 3, Census Tract 42, King County, Washington",59102,17759
1500000US530330042004,530330042004,"Block Group 4, Census Tract 42, King County, Washington",50476,7289
1500000US530330042005,530330042005,"Block Group 5, Census Tract 42, King County, Washington",60647,10698
1500000US530330043011,530330043011,"Block Group 1, Census Tract 43.01, King County, Washington",26469,9967
1500000US530330043012,530330043012,"Block Group 2, Census Tract 43.01, King County, Washington",47621,10324
1500000US530330043013,530330043013,"Block Group 3, Census Tract 43.01, King County, Washington",64650,18027
1500000US530330043021,530330043021,"Block Group 1, Census Tract 43.02, King County, Washington",11528,2472
1500000US530330043022,530330043022,"Block Group 2, Census Tract 43.02, King County, Washington",14063,2600
1500000US530330044001,530330044001,"Block Group 1, Census Tract 44, King County, Washington",55617,17388
1500000US530330044002,530330044002,"Block Group 2, Census Tract 44, King County, Washington",49711,10966
1500000US530330044003,530330044003,"Block Group 3, Census Tract 44, King County, Washington",18201,6081
1500000US530330044004,530330044004,"Block Group 4, Census Tract 44, King County, Washington",20330,5748
1500000US530330045001,530330045001,"Block Group 1, Census Tract 45, King County, Washington",30748,6993
