block_group,mode_index,affordability_index
5.3033E+11,0.849285714,0.749115472
5.3033E+11,0.660714286,0.369643065
5.3033E+11,0.663571429,0.458180443
5.3033E+11,0.717857143,0.523952281
5.3033E+11,0.775,0.52474378
5.3033E+11,0.614285714,0.274664834
5.3033E+11,0.833571429,0.774795498
5.3033E+11,0.780714286,0.426548154
5.3033E+11,0.825,0.741963538
5.3033E+11,0.652857143,0.298493872
5.3033E+11,0.578571429,0.698132216
5.3033E+11,0.667857143,0.38132744
5.3033E+11,0.796428571,0.503450857
5.3033E+11,0.82,0.626938433
5.3033E+11,0.845714286,0.428791321
5.3033E+11,0.667857143,0.433815195
5.3033E+11,0.742142857,0.516005115
5.3033E+11,0.798571429,0.641327425
5.3033E+11,0.689285714,0.380237407
5.3033E+11,0.539285714,0.240531163
5.3033E+11,0.816428571,0.902042655
5.3033E+11,0.783571429,0.647790502
5.3033E+11,0.542142857,0.397174769
5.3033E+11,0.656428571,0.421237081
5.3033E+11,0.750714286,0.346509425
5.3033E+11,0.8,0.498477153
5.3033E+11,0.85,0.661519315
5.3033E+11,0.775,0.50891698
5.3033E+11,0.735,0.403218636
5.3033E+11,0.819285714,0.624642653
5.3033E+11,0.654285714,0.452521008
5.3033E+11,0.655714286,0.450245996
5.3033E+11,0.737857143,0.333048959
5.3033E+11,0.818571429,0.550215906
5.3033E+11,0.792857143,0.341424761
5.3033E+11,0.617142857,0.586157379
5.3033E+11,0.823571429,0.645895705
5.3033E+11,0.672142857,0.255349105
5.3033E+11,0.736428571,0.268520302
5.3033E+11,0.820714286,0.483617127
5.3033E+11,0.631428571,0.286111386
5.3033E+11,0.807142857,0.614450068
5.3033E+11,0.628571429,0.266153663
5.3033E+11,0.63,0.424824919
5.3033E+11,0.596428571,0.487170644
5.3033E+11,0.68,0.066652135
5.3033E+11,0.701428571,0.410454961
5.3033E+11,0.829285714,0.540799471
5.3033E+11,0.713571429,0.451980042
5.3033E+11,0.578571429,0.416533078
5.3033E+11,0.810714286,0.657002627
5.3033E+11,0.722142857,0.447038568
