Id,Id2,Geography,Race Total,Margin of Error; Total:,White alone,Margin of Error; Total: - White alone,Black or African American alone,Margin of Error; Total: - Black or African American alone,American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Asian alone,Margin of Error; Total: - Asian alone,Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Some other race alone,Margin of Error; Total: - Some other race alone,Two or more races,Margin of Error; Total: - Two or more races:,Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US530330249021,530330249021,"Block Group 1, Census Tract 249.02, King County, Washington",1116,235,695,158,16,24,0,12,250,142,12,19,104,141,39,40,0,12,39,40
1500000US530330249022,530330249022,"Block Group 2, Census Tract 249.02, King County, Washington",1593,399,1171,383,0,12,0,12,422,140,0,12,0,12,0,12,0,12,0,12
1500000US530330249023,530330249023,"Block Group 3, Census Tract 249.02, King County, Washington",1219,258,780,178,50,50,0,12,252,131,0,12,0,12,137,92,39,63,98,70
1500000US530330249031,530330249031,"Block Group 1, Census Tract 249.03, King County, Washington",1922,315,1135,244,30,46,0,12,609,226,0,12,0,12,148,167,0,12,148,167
1500000US530330249032,530330249032,"Block Group 2, Census Tract 249.03, King County, Washington",1606,357,1088,331,2,5,0,12,466,215,0,12,0,12,50,53,0,12,50,53
1500000US530330249033,530330249033,"Block Group 3, Census Tract 249.03, King County, Washington",1513,256,649,233,0,12,0,12,864,279,0,12,0,12,0,12,0,12,0,12
1500000US530330249034,530330249034,"Block Group 4, Census Tract 249.03, King County, Washington",1538,268,594,191,0,12,0,12,736,220,0,12,0,12,208,229,0,12,208,229
1500000US530330250011,530330250011,"Block Group 1, Census Tract 250.01, King County, Washington",915,217,697,217,9,14,0,12,177,102,0,12,0,12,32,35,0,12,32,35
1500000US530330250012,530330250012,"Block Group 2, Census Tract 250.01, King County, Washington",1493,247,908,266,10,17,0,12,356,129,0,12,36,40,183,109,0,12,183,109
1500000US530330250013,530330250013,"Block Group 3, Census Tract 250.01, King County, Washington",1327,314,843,204,0,12,0,12,475,267,0,12,0,12,9,15,0,12,9,15
1500000US530330250014,530330250014,"Block Group 4, Census Tract 250.01, King County, Washington",1083,191,887,201,44,67,0,12,125,100,0,12,0,12,27,31,0,12,27,31
1500000US530330250031,530330250031,"Block Group 1, Census Tract 250.03, King County, Washington",1441,303,895,223,48,67,0,12,458,264,0,12,0,12,40,62,0,12,40,62
1500000US530330250032,530330250032,"Block Group 2, Census Tract 250.03, King County, Washington",1289,333,886,305,0,12,0,12,336,210,37,49,0,12,30,35,0,12,30,35
1500000US530330250033,530330250033,"Block Group 3, Census Tract 250.03, King County, Washington",1500,304,1138,296,0,12,14,23,218,128,0,12,60,60,70,68,14,22,56,66
1500000US530330250034,530330250034,"Block Group 4, Census Tract 250.03, King County, Washington",1198,256,901,244,15,23,0,12,273,186,0,12,0,12,9,14,0,12,9,14
1500000US530330250035,530330250035,"Block Group 5, Census Tract 250.03, King County, Washington",1573,366,934,304,0,12,0,12,475,214,0,12,12,20,152,124,78,106,74,65
1500000US530330250051,530330250051,"Block Group 1, Census Tract 250.05, King County, Washington",3034,304,1524,277,51,75,0,12,1364,344,0,12,0,12,95,88,0,12,95,88
1500000US530330250052,530330250052,"Block Group 2, Census Tract 250.05, King County, Washington",1464,269,1006,219,64,49,0,12,296,165,0,12,0,12,98,88,0,12,98,88
1500000US530330250061,530330250061,"Block Group 1, Census Tract 250.06, King County, Washington",1531,310,899,289,0,12,44,74,500,211,0,12,0,12,88,139,0,12,88,139
1500000US530330250062,530330250062,"Block Group 2, Census Tract 250.06, King County, Washington",2932,482,2112,397,187,283,0,12,475,355,0,12,15,26,143,214,0,12,143,214
1500000US530330250063,530330250063,"Block Group 3, Census Tract 250.06, King County, Washington",1102,287,768,283,51,54,0,12,224,165,0,12,0,12,59,76,0,12,59,76
1500000US530330251011,530330251011,"Block Group 1, Census Tract 251.01, King County, Washington",1918,438,921,288,68,84,14,22,39,57,0,12,729,456,147,151,45,73,102,136
1500000US530330251012,530330251012,"Block Group 2, Census Tract 251.01, King County, Washington",1173,362,635,246,182,150,0,12,170,184,0,12,186,262,0,12,0,12,0,12
1500000US530330251013,530330251013,"Block Group 3, Census Tract 251.01, King County, Washington",655,226,458,182,0,12,0,12,96,101,0,12,20,28,81,89,40,56,41,46
