Id,Id2,Geography,Food Stamps Total,Margin of Error; Total:,Estimate; Household received Food Stamps/SNAP in the past 12 months:,Margin of Error; Household received Food Stamps/SNAP in the past 12 months:,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months:,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months:,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability
1500000US530330028002,530330028002,"Block Group 2, Census Tract 28, King County, Washington",490,69,0,12,0,12,0,12,490,69,33,39,457,64
1500000US530330028003,530330028003,"Block Group 3, Census Tract 28, King County, Washington",615,111,26,31,10,18,16,25,589,107,10,17,579,110
1500000US530330028004,530330028004,"Block Group 4, Census Tract 28, King County, Washington",645,93,0,12,0,12,0,12,645,93,82,64,563,100
1500000US530330029001,530330029001,"Block Group 1, Census Tract 29, King County, Washington",676,84,19,15,7,12,12,17,657,86,52,34,605,93
1500000US530330029002,530330029002,"Block Group 2, Census Tract 29, King County, Washington",656,68,64,37,30,39,34,42,592,66,54,35,538,70
1500000US530330029003,530330029003,"Block Group 3, Census Tract 29, King County, Washington",552,68,0,12,0,12,0,12,552,68,39,29,513,75
1500000US530330030001,530330030001,"Block Group 1, Census Tract 30, King County, Washington",626,87,25,28,25,28,0,12,601,95,99,54,502,94
1500000US530330030002,530330030002,"Block Group 2, Census Tract 30, King County, Washington",589,100,38,48,0,12,38,48,551,89,66,79,485,84
1500000US530330030003,530330030003,"Block Group 3, Census Tract 30, King County, Washington",659,103,48,44,48,44,0,12,611,113,94,61,517,113
1500000US530330030004,530330030004,"Block Group 4, Census Tract 30, King County, Washington",611,121,0,12,0,12,0,12,611,121,89,76,522,119
1500000US530330031001,530330031001,"Block Group 1, Census Tract 31, King County, Washington",444,73,0,12,0,12,0,12,444,73,76,54,368,85
1500000US530330031002,530330031002,"Block Group 2, Census Tract 31, King County, Washington",493,120,45,40,0,12,45,40,448,125,22,25,426,123
1500000US530330031003,530330031003,"Block Group 3, Census Tract 31, King County, Washington",600,122,30,27,30,27,0,12,570,123,102,60,468,131
1500000US530330031004,530330031004,"Block Group 4, Census Tract 31, King County, Washington",621,94,0,12,0,12,0,12,621,94,45,42,576,93
