Id,Id2,Geography,Tenure Total,Margin of Error; Total:,Own,Margin of Error; Total: - Owner occupied,Rent,Margin of Error; Total: - Renter occupied
1500000US530330302011,530330302011,"Block Group 1, Census Tract 302.01, King County, Washington",275,90,179,84,96,65
1500000US530330302012,530330302012,"Block Group 2, Census Tract 302.01, King County, Washington",528,122,84,32,444,121
1500000US530330302013,530330302013,"Block Group 3, Census Tract 302.01, King County, Washington",504,87,426,92,78,48
1500000US530330302014,530330302014,"Block Group 4, Census Tract 302.01, King County, Washington",702,103,567,108,135,84
1500000US530330302021,530330302021,"Block Group 1, Census Tract 302.02, King County, Washington",296,96,286,98,10,17
1500000US530330302022,530330302022,"Block Group 2, Census Tract 302.02, King County, Washington",554,125,365,125,189,97
1500000US530330302023,530330302023,"Block Group 3, Census Tract 302.02, King County, Washington",365,120,118,77,247,95
1500000US530330302024,530330302024,"Block Group 4, Census Tract 302.02, King County, Washington",523,143,201,83,322,133
1500000US530330302025,530330302025,"Block Group 5, Census Tract 302.02, King County, Washington",601,135,226,85,375,134
1500000US530330303041,530330303041,"Block Group 1, Census Tract 303.04, King County, Washington",572,83,517,82,55,47
1500000US530330303042,530330303042,"Block Group 2, Census Tract 303.04, King County, Washington",435,71,255,51,180,62
1500000US530330303051,530330303051,"Block Group 1, Census Tract 303.05, King County, Washington",838,135,454,114,384,141
1500000US530330303052,530330303052,"Block Group 2, Census Tract 303.05, King County, Washington",657,133,550,120,107,73
1500000US530330303053,530330303053,"Block Group 3, Census Tract 303.05, King County, Washington",587,94,503,92,84,55
1500000US530330303061,530330303061,"Block Group 1, Census Tract 303.06, King County, Washington",493,87,408,86,85,53
1500000US530330303062,530330303062,"Block Group 2, Census Tract 303.06, King County, Washington",400,97,360,91,40,61
1500000US530330303063,530330303063,"Block Group 3, Census Tract 303.06, King County, Washington",774,102,577,115,197,94
1500000US530330303064,530330303064,"Block Group 4, Census Tract 303.06, King County, Washington",384,87,356,88,28,25
1500000US530330303081,530330303081,"Block Group 1, Census Tract 303.08, King County, Washington",309,73,301,76,8,14
1500000US530330303082,530330303082,"Block Group 2, Census Tract 303.08, King County, Washington",684,113,416,92,268,103
1500000US530330303083,530330303083,"Block Group 3, Census Tract 303.08, King County, Washington",490,103,407,95,83,74
1500000US530330303084,530330303084,"Block Group 4, Census Tract 303.08, King County, Washington",773,145,142,74,631,125
1500000US530330303091,530330303091,"Block Group 1, Census Tract 303.09, King County, Washington",396,94,245,79,151,70
1500000US530330303092,530330303092,"Block Group 2, Census Tract 303.09, King County, Washington",561,119,107,69,454,109
1500000US530330303093,530330303093,"Block Group 3, Census Tract 303.09, King County, Washington",585,133,53,43,532,129
1500000US530330303094,530330303094,"Block Group 4, Census Tract 303.09, King County, Washington",813,173,339,89,474,165
1500000US530330303101,530330303101,"Block Group 1, Census Tract 303.10, King County, Washington",339,88,272,74,67,62
1500000US530330303102,530330303102,"Block Group 2, Census Tract 303.10, King County, Washington",327,72,277,82,50,38
1500000US530330303103,530330303103,"Block Group 3, Census Tract 303.10, King County, Washington",415,78,317,79,98,55
1500000US530330303104,530330303104,"Block Group 4, Census Tract 303.10, King County, Washington",878,123,186,70,692,126
1500000US530330303111,530330303111,"Block Group 1, Census Tract 303.11, King County, Washington",384,109,316,100,68,63
1500000US530330303112,530330303112,"Block Group 2, Census Tract 303.11, King County, Washington",585,114,231,79,354,111
1500000US530330303113,530330303113,"Block Group 3, Census Tract 303.11, King County, Washington",391,69,370,73,21,25
1500000US530330303114,530330303114,"Block Group 4, Census Tract 303.11, King County, Washington",335,88,288,86,47,65
1500000US530330303121,530330303121,"Block Group 1, Census Tract 303.12, King County, Washington",627,121,83,39,544,121
1500000US530330303122,530330303122,"Block Group 2, Census Tract 303.12, King County, Washington",473,94,197,60,276,74
1500000US530330303123,530330303123,"Block Group 3, Census Tract 303.12, King County, Washington",384,70,349,70,35,30
1500000US530330303124,530330303124,"Block Group 4, Census Tract 303.12, King County, Washington",292,77,258,73,34,49
