Id,Id2,Geography,Pc_income,Margin of Error; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US530330019003,530330019003,"Block Group 3, Census Tract 19, King County, Washington",42042,7742
1500000US530330020001,530330020001,"Block Group 1, Census Tract 20, King County, Washington",58569,12377
1500000US530330020002,530330020002,"Block Group 2, Census Tract 20, King County, Washington",50776,11761
1500000US530330020003,530330020003,"Block Group 3, Census Tract 20, King County, Washington",45839,10683
1500000US530330021001,530330021001,"Block Group 1, Census Tract 21, King County, Washington",52360,7260
1500000US530330021002,530330021002,"Block Group 2, Census Tract 21, King County, Washington",43737,8645
1500000US530330021003,530330021003,"Block Group 3, Census Tract 21, King County, Washington",60179,16554
1500000US530330022001,530330022001,"Block Group 1, Census Tract 22, King County, Washington",49340,8429
1500000US530330022002,530330022002,"Block Group 2, Census Tract 22, King County, Washington",51915,9768
1500000US530330022003,530330022003,"Block Group 3, Census Tract 22, King County, Washington",79865,19288
1500000US530330022004,530330022004,"Block Group 4, Census Tract 22, King County, Washington",93137,22351
1500000US530330024001,530330024001,"Block Group 1, Census Tract 24, King County, Washington",58278,12419
1500000US530330024002,530330024002,"Block Group 2, Census Tract 24, King County, Washington",44920,8130
1500000US530330024003,530330024003,"Block Group 3, Census Tract 24, King County, Washington",51520,6698
1500000US530330025001,530330025001,"Block Group 1, Census Tract 25, King County, Washington",47330,8826
1500000US530330025002,530330025002,"Block Group 2, Census Tract 25, King County, Washington",52012,10085
1500000US530330026001,530330026001,"Block Group 1, Census Tract 26, King County, Washington",44048,6255
1500000US530330026002,530330026002,"Block Group 2, Census Tract 26, King County, Washington",47834,7146
1500000US530330026003,530330026003,"Block Group 3, Census Tract 26, King County, Washington",47004,9559
1500000US530330026004,530330026004,"Block Group 4, Census Tract 26, King County, Washington",41363,9119
1500000US530330027001,530330027001,"Block Group 1, Census Tract 27, King County, Washington",42357,5400
1500000US530330027002,530330027002,"Block Group 2, Census Tract 27, King County, Washington",72339,20706
1500000US530330027003,530330027003,"Block Group 3, Census Tract 27, King County, Washington",77979,17598
1500000US530330027004,530330027004,"Block Group 4, Census Tract 27, King County, Washington",60181,12982
1500000US530330028001,530330028001,"Block Group 1, Census Tract 28, King County, Washington",58616,14918
1500000US530330028002,530330028002,"Block Group 2, Census Tract 28, King County, Washington",43762,10234
1500000US530330028003,530330028003,"Block Group 3, Census Tract 28, King County, Washington",56725,10271
1500000US530330028004,530330028004,"Block Group 4, Census Tract 28, King County, Washington",50124,7925
1500000US530330029001,530330029001,"Block Group 1, Census Tract 29, King County, Washington",46898,6760
1500000US530330029002,530330029002,"Block Group 2, Census Tract 29, King County, Washington",49337,6285
1500000US530330029003,530330029003,"Block Group 3, Census Tract 29, King County, Washington",58057,10835
1500000US530330030001,530330030001,"Block Group 1, Census Tract 30, King County, Washington",51432,10191
1500000US530330030002,530330030002,"Block Group 2, Census Tract 30, King County, Washington",42142,7355
1500000US530330030003,530330030003,"Block Group 3, Census Tract 30, King County, Washington",42524,8489
1500000US530330030004,530330030004,"Block Group 4, Census Tract 30, King County, Washington",53148,10260
1500000US530330031001,530330031001,"Block Group 1, Census Tract 31, King County, Washington",53665,5890
1500000US530330031002,530330031002,"Block Group 2, Census Tract 31, King County, Washington",53129,13263
1500000US530330031003,530330031003,"Block Group 3, Census Tract 31, King County, Washington",52535,19133
1500000US530330031004,530330031004,"Block Group 4, Census Tract 31, King County, Washington",57437,22405
1500000US530330031005,530330031005,"Block Group 5, Census Tract 31, King County, Washington",45042,7669
1500000US530330032001,530330032001,"Block Group 1, Census Tract 32, King County, Washington",52806,11102
1500000US530330032002,530330032002,"Block Group 2, Census Tract 32, King County, Washington",58902,11400
1500000US530330032003,530330032003,"Block Group 3, Census Tract 32, King County, Washington",43649,9367
1500000US530330032004,530330032004,"Block Group 4, Census Tract 32, King County, Washington",40567,10982
1500000US530330032005,530330032005,"Block Group 5, Census Tract 32, King County, Washington",38386,7428
1500000US530330032006,530330032006,"Block Group 6, Census Tract 32, King County, Washington",58586,20278
1500000US530330032007,530330032007,"Block Group 7, Census Tract 32, King County, Washington",62227,13807
1500000US530330033001,530330033001,"Block Group 1, Census Tract 33, King County, Washington",59429,13599
1500000US530330033002,530330033002,"Block Group 2, Census Tract 33, King County, Washington",49566,6513
1500000US530330033003,530330033003,"Block Group 3, Census Tract 33, King County, Washington",53443,6503
1500000US530330033004,530330033004,"Block Group 4, Census Tract 33, King County, Washington",62006,13919
1500000US530330033005,530330033005,"Block Group 5, Census Tract 33, King County, Washington",50901,9923
1500000US530330034001,530330034001,"Block Group 1, Census Tract 34, King County, Washington",47563,6194
1500000US530330034002,530330034002,"Block Group 2, Census Tract 34, King County, Washington",55800,9235
1500000US530330034003,530330034003,"Block Group 3, Census Tract 34, King County, Washington",50679,7394
